Identifiant 0,Sexe 1,Nom1 2,Nom2 3,Prénom 4,Statut 5,Signature 6,co-auteurs CRH 7,co-auteurs extérieurs 8,Objet 9,Titre 10,Revue 11,Direction 12,livre collectif 13,ouvrage préfacé 14,Dédicataire 15,Dictionnaire 16,Date 17,Lieu 18,Éditeur 19,Collection 20,Série 21,Organisme 22,Langue 23,nombre de pages 24
1,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,article dans une revue,Heller (Clémens),Le Débat,,,,,,1989,,,,,,français,2
2,m,GUÉRY,,Alain,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,"Le roi est dieu, le roi et Dieu",,"N. Bulst, R. Descimon et A. Guerreau","L'Etat ou le roi. Les fondations de la modernité monarchique en France XIVe-XVIIe siècles,",,,,1996,Paris,MSH,,,,français,21
3,m,GUÉRY,,Alain,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Fondements historiques des finances de l'Etat,,B. Théret,"L'Etat, la finance et le social. Souveraineté nationale et construction européenne",,,,1995,Paris,La Découverte,,,,français,21
4,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,"Museo archeologico : arte, natura, storia",,F.Nuvolari et V.Pavan,"Archeologia, architettura",,,,1987,Venise,,,,,italien,16
5,m,HARTOG,,François,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Il Confronto con gli Antichi,,S. Settis,Noi e I Greci,,,,1996,Turin,Einaudi,,,,italien,35
6,m,JULIA,,Dominique,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Letture e Controriforma,,G. Cavallo et R. Chartier,Storia della lettura nel mondo occidentale,,,,1995,Rome/Bari,Laterza,,,,italien,40
7,m,BRAUNSTEIN,,Philippe,Directeur d'études EHESS,1,,,article dans des actes de colloque,Les salaires sur les chantiers monumentaux du Milanais à la fin du XIVe siècles,,X.Barral,"Actes du Colloque Artistes, artisans et production artistique au Moyen Age, t. I - Les hommes, Rennes 1983",,,,1986,Rennes,,,,,français,10
8,f,LEMAY,,Edna,Maître assistant EHESS,1,,,contribution dans un livre collectif,"Thomas Hérier, a country surgeon outside Angoulême at the end of 18th century : a contribution to social history",,?,"Branca, The Medicine Show",,,,1977,New York,,,,,anglais,
9,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,"Genova, Napoli, Venezia : tre destini",,F.Viatte,"Barocco mediterraneo : Genova, Napoli, Venezia nei musei di Francia",,,,1989,Naples,,,,,italien,8
10,f,NAHOUM,,Véronique,Collaborateur technique EHESS,1,,,contribution dans un livre collectif,En Champagne : signatures au mariage (XVIIe-XVIIIe),,F. Furet et J. Ozouf,Lire et écrire,,,,1977,Paris,Minuit,,,,français,31
11,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,article dans des actes de colloque,La philosophie de René Thom,,E.Petitot,Actes du Colloque Logos et Théorie des Catastrophes à partir de l'oeuvre de René Thom,,,,1989,Genève,,,,,français,17
12,m,JULIA,,Dominique,Directeur de recherche CNRS,1,,,article dans des actes de colloque,Gilbert Romme gouverneur 1779-1790,,J. Ehrard,Gilbert Romme (1750-1795) Actes du colloque de Riom (19 et 20 mai 1995),,,,1996,Paris,Société des études robespierristes,,,,français,36
13,m,JULLIARD,,Jacques,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"Mendès France, le mythe",,?,"Pierre Mendès France et l'esprit républicain,",,,,1996,Paris,,,,,français,9
14,m,JULIA,,Dominique,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Généalogie de la Ratio Studiorum,,L. Giard et L. de Vaucelles,"Les Jésuites à l'âge baroque, 1540-1640",,,,1996,Grenoble,Jérôme Million,,,,français,16
15,m,JOUHAUD,,Christian,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Histoire et littérature: du programme de Lanson au 'néo-historicisme',,P. Carile et A.M. Mandich,"Discorrere il metodo, Il contributo della francesistica agli studi metodologici",,,,1995,Ferrare,,,,,français,17
16,m,JULIA,,Dominique,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,La culture scolaire comme objet historique,,"M. Depaepe, E.W. Johanningmeier et A. Novoa",The Colonial Experience in Education. Historical Issues and Perspectives,,,,1995,Gand,,,,,français,30
