BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
10,"","abadie2019a","Abadie, Nathalie; Baciocchi, Stéphane; Boivin, Pierre; Chadeyron, Julien; Cristofoli, Pascal; Delaveau, Jean-Michel; Duménieu, Bertrand; Gomis, Stéphane; Gribaudi, Maurizio; Langlois, Isabelle; Motte, Claude; Perret, Julien & Vouloir, Marie-Christine","Reconstruction et édition critique de la planche n°52 de la "Carte de France" dite de Cassini, 1756-1777, 2016-2019","",,,"7","",2019,"Paris-Saint-Mandé-Clermont-Ferrand","","https://didomena.ehess.fr/concern/data_sets/r781wg41t?locale=fr","","","","","","","","","","","","","","","autre","",""
7,"","anter2019a","Anter, Andreas","Max Weber et la Loi fondamentale allemande »","Revue européenne des sciences sociales",57,1,"","77–103",2019,"","","","","","","","","","","","","","","","","","autre","",""
5,"","arnoux2019a1","Arnoux, Mathieu","Postface","",,,"","375–378",2019,"Paris","","","Sous le soleil. Systèmes et transitions énergétiques du Moyen Âge à nos jours","","","","Mathis, Ch.-Fr. & Massard-Guillebaud, G.","Éditions de la Sorbonne","","","","","","","","","prefpostface","",""
7,"","arnoux2019b","Arnoux, Mathieu","Ressources renouvelables et croissance économique : suggestions médiévales et questions contemporaines","Revue de la régulation",26,,"","",2019,"","","https://journals.openedition.org/regulation/15672","","","","","","","","","","","","","","","article","",""
5,"","arnoux2019a2","Arnoux, Mathieu","Valeur sociale du travail et émergence de l’économie (Europe, Xe- XIIIe siècles)","",,,"","33–42",2019,"Paris","","","Le Droit face à l’économie sans travail","","","","Brunori, L.; Dauchy, S.; Descamps, O. & Prévost, X.","","","","","","","","","","chap","",""
5,"","ass2019a2","Asséo, Henriette","Les mondes judéo-espagnols entre empire et nations","",,,"","27–75",2019,"Paris","","","Mémorial des Judéo-Espagnols déportés de France","","","","Asséo, Henriette; Bellaïche-Cohen, Annie; Flicoteaux, Muriel; Guttstadt, Corry; Rothéa, Xavier; Soulam, Sabi & Toledo, Alain","Muestros Dezaparesidos","","","","","","","","","chap","",""
5,"","ass2019b","Asséo, Henriette","Postface : Adresse à Philomena","",,,"","279–296",2019,"Paris","Traduction de l’allemand,","","L’Amour a vaincu la mort","","","","","Petra","","","","","","","","","chap","",""
5,"","ass2018a","Asséo, Henriette","Avant-propos","",,,"","XIII-XXV",2018,"Paris","","","Des Tsiganes vers Auschwitz, Le convoi Z du 15 janvier 1944","","","","Heddebaut, Monique","Editions Tirésias-Michel Reynaud","","","","","","","","","chap","",""
7,"","baciocchi2019a","Baciocchi, Stéphane; Beauguitte, Laurent; Blavier, Pierre & Lambert, Nicolas","Documenting the Diffusion of the 2016 French Nuit Debout","Research data journal for the humanities and social sciences",4,,"","1–10",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","alain2019a","Baciocchi, Stéphane & Cottereau, Alain","Observer l’inobservable dans un budget de famille ouvrière. L’expérimentation de F. Le Play auprès de Francesca à Vienne (Autriche), mai-juin 1853","",,,"","368–386",2019,"Paris","Recherches","https://www.cairn.info/les-enquetes-ouvrieres-dans-l-europe-contemporaine--9782707199843-page-368.htm","Enquêtes ouvrières dans l'Europe contemporaine, entre pratiques scientifiques et passions politiques","","","","Geerkens, E.; Hatzfeld, N.; Vigna, x. & Lespinet, I.","Ed. La Découverte","","","","","","","","","chap","",""
10,"","backouche-a2","Backouche, Isabelle","Réalisation de deux posdcasts pour mettre en sons le bâtiment de la société Leboncoin, Les multiples vies d’un grand magasin des faubourgs (1900-1945","",,,"","",,"","Disponibles sur la webapp, https://passe-ici.fr/. La totalité des balades sonores est présentée sur le site de l'association :","https://www.faire-savoirs.com/","","","","","","","","","","","","","","","autre","",""
5,"","backouche2019a1","Backouche, Isabelle","La Zone et les zoniers parisiens. Un territoire habité, un espace stigmatisé","",,,"","49–66",2019,"Paris","","","Genres urbains. Autour d’Annie Fourcaut","","","","","Créaphis","","","","","","","","","chap","",""
10,"","backouche2019a3","Backouche, Isabelle","Les Halles déménagent à Rungis","",,,"2","",2019,"","Entretien mis en ligne sur le site de la revue l’Histoire","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","backouche2019b","Backouche, Isabelle","Paris sous les eaux : le gouvernement mobilisé","Les Collections de l’Histoire",,,"11","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","backouche2019a2","Backouche, Isabelle","Quand deux chercheuses font revivre les voix du passé","Espaces. Tourisme et loisirs",349,,"","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","backouche-a1","Backouche, Isabelle & Gensburger, S.","Entendre l’histoire pour comprendre son élaboration : des bulles sonores à la webapp ‘passeici.fr’","Le Mouvement Social",,269,"10","",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","baruch2019a3","Baruch, Marc Olivier","Je n'en connais pas la fin ; la chanson à la Libération","",,,"","414–424",2019,"Paris","","","De la Libération au Domaine musical ; dix ans de musique en France (1944-1954)","","","","Poirier, Alain & Feneyrou, Laurent","Vrin","","","","","","","","","chap","",""
5,"","baruch2019a2","Baruch, Marc Olivier","Préface","",,,"","",2019,"","","","La République jusqu'à la mort. Alfred Golliard, préfet, résistant, déporté, Besançon","","","","Barbier, Jean-Claude","Presses de l'université de Franche-Comté","","","","","","","","","prefpostface","",""
5,"","baruch2019c","Baruch, Marc Olivier","Une fiction d'histoire","",,,"","19–22",2019,"Brive","","","Pierre Laborie, hommages et témoignages","","","","Beaubatie, Gilbert","Mille Sources éditeur","","","","","","","","","chap","",""
5,"","baruch2019b","Baruch, Marc Olivier","Une longue quête vers l'inachevé","",,,"","533–541",2019,"Paris","","","1979, genèse d'une loi sur les archives","","","","Cornu, Marie; Potin, Yann & Wagener, Noé","La Documentation française","","","","","","","","","chap","",""
7,"","baumgarten2019a4","Baumgarten, Jean","Compte rendu. Hasidim : a New History, éd. par David Biale et als., Princeton, Princeton University Press, 2018","Revue des études juives",1,2,"","278–280",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","baumgarten2019b4","Baumgarten, Jean","Compte rendu. Morris M. Faierstein, Truth Springs from the Earth, the Teachings of Rabbi Menahem Mendel of Kotsk, Eugene (Oregon), Pickwick Publications, 2018","Revue des études juives",3,4,"","489–491",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
5,"","baumgarten2019b3","Baumgarten, Jean","De quelques possibles sources juives du Compendium de Spinoza","",,,"","127–158",2019,"Paris","","","Spinoza : Philosophe grammairien","","","","Baumgarten, Jean; Rosier-Catach, Irène & Totaro, Pina","CNRS Editions","","","","","","","","","chap","",""
7,"","baumgarten2019b1","Baumgarten, Jean","Les Jeux de Pourim (Purim-Shpiln) : rire et renversement parodique dans la culture juive d’Europe (XVIe-XVIIIe siècle)","Esther, Cahiers évangiles",,,"","86–95",2019,"Paris","","","","","","","","Cerf","","","","","","","","","article","",""
7,"","baumgarten2019c","Baumgarten, Jean","L’extase mystique","Esquisses, Suspens",,,"","51–60",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","baumgarten2019a3","Baumgarten, Jean","Melokhim-Bukh","",,,"","5300",2019,"Berlin","","","Encyclopedia of the Bible and its Reception (EBR)","","","","","de Gruyter","","","","","","","","","artdictencyclo","",""
7,"","baumgarten2019d","Baumgarten, Jean","Prier dans les bois et les champs : Israël Baal Shem Tov et la nature","Tsafon",76,,"","27–50",2019,"","","","","","","","Tauber, Michèle & Schumacher-Brunhes, Marie","","","","","","","","","","article","",""
7,"","baumgarten2019b2","Baumgarten, Jean","Traduire et imprimer l’Iggeret ha-kodesh en yiddish (Fürth, 1692)","Materia Judaica",XXIV,,"","319–329",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","baumgarten2019a2","Baumgarten, Jean; Rosier-Catach, Irène & Totaro, Pina","Spinoza, grammaire et philosophie : le Compendium grammatices linguae hebraeae","",,,"","13–20",2019,"Paris","","","Spinoza : Philosophe grammairien","","","","Baumgarten, Jean; Rosier-Catach, Irène & Totaro, Pina","CNRS Editions","","","","","","","","","chap","",""
10,"","b2019a2","Béaur, Gérard","Agriculture : le grand malaise ?","",,,"2","",2019,"",""Ça vous regarde", débat sur la Chaîne parlementaire (LCP), avec Myriam Encaoua","","","","","","","","","","","","","","","","vulgarisation","",""
5,"","b2019a1","Béaur, Gérard","Preventing subsistence crises: The State and the Granaries of Abundance in Old Regime France","",17,,"","193–210",2019,"Turnhout","","","Stocks, Seasons and Sales: Food Supply, Storage and Markets in Europe and the New World, c. 1600-2000","","","CORN","Herment, Laurent; Mignemi, Niccolo & Ronsijn, Wouter","Brepols","","","","","","","","","chap","",""
5,"","berlioz2019a2","Berlioz, Jacques","Le Carnaval romain chez le dominicain Étienne de Bourbon (mort vers 1261) ou l’habile escamotage d’un rituel sanglant","",,,"","31–56",2019,"Genève","","","Fleur de clergie. Mélanges en l’honneur de Jean-Yves Tilliette","","","","Collet, Olivier; Foehr-Janssens, Yasmina; Mühlethaler, Jean-Claude & Deleville, Prunelle","Droz","","","","","","","","","chap","",""
1,"","berlioz2019a1","Berlioz, Jacques & Baecque, Antoine","Jean Jacob, l’homme de 120 ans","",,,"","",2019,"Paris","","","","","","","","Tallandier","","","","","","","","","monographie","",""
5,"","berlioz2019b","Berlioz, Jacques & Guerreau, Alain","La place de la chair dans les recueils d’exempla méridionaux (XIIIe-XIVe siècles)","",,,"","211–233",2019,"Toulouse","","","L’Eglise et la chair, 52e colloque de Fanjeaux, 4-7 juillet 2016","","","","","Privat","","","","","","","","","chap","",""
5,"","beaulieu2012a","Berlioz, Jacques & Polo de Beaulieu, Marie Anne","La transmission d’un savoir juridique par les recueils d’exempla (XIIIe-XIVe siècles)","",,,"","299–324",2012,"Brescia","","https://rmblf.be/2019/03/05/publication-en-ligne-verbum-e-ius-predicazione-e-sistemi-giuridici-nelloccidente-medievale-dir-laura-gaffuri-et-rosa-maria-parrinello/","Erbum et Ius, Actes du congrès de l’International Medieval Sermon Studies Society","","","","Gaffuri, Laura & Parrinello, Rosa Maria","Firenze University Press","","","","","","","","","chap","",""
7,"","blanquie2019c","Blanquie, Christophe","Bussy lecteur de lettres","Horizons épistolaires, Rabutinages",,29,"","35–46",2019,"","","","","","","","","","","","","","","","","","article","",""
1,"","blanquie2019a","Blanquie, Christophe","Bussy-Rabutin ou le désœuvrement de l’épistolier","",,,"","",2019,"Paris","","","","","","Les Dossiers du Grihl","","Centre de recherches historiques","","","","","","","","","monographie","",""
7,"","bonnefoy2019a1","Bonnefoy, Baptiste","Les langages de l’appartenance. Miliciens de couleur et changements de souveraineté dans les îles du Vent (1763-1803)","L’Atelier du Centre de recherches historiques",20,,"","",2019,"","","http://journals.openedition.org/acrh/9607","","","","","","","","","","","","","","","article","",""
5,"","bonnefoy2019a2","Bonnefoy, Baptiste","Revueltas urbanas en los puertos españoles del Caribe revolucionario (1794-1799)","",,,"","259–277",2019,"Santander","","","Dimensiones del conflicto: resistencia, violencia y policía en el mundo urbano","","","","Mantecón, T. A.; Arce, M. Torres & Truchuelo, S.","Editorial Universidad de Cantabria","","","","","","","","","chap","",""
1,"","bonneuil2019a2","Bonneuil, Christophe","Le pétrole vert. Les promesses des biotechnologies face à la crise énergétique (France, 1973-1984)","",,,"","313–327",2019,"Paris","","","Face à la puissance. Une histoire des énergies alternatives et renouvelables à l’âge industriel","","","","Vrignon, A. & Jarrige, F.","La Découverte","","","","","","","","","chap","",""
